Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J18","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",108.160000,-87.975000,-90.000000,top
"J19","ADXL345","Molex_KK-254_AE-6410-06A_1x06_P2.54mm_Vertical",173.970000,-138.900000,0.000000,top
"J20","FILAMENT_Runout_Sensor","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",126.860000,-132.670000,90.000000,top
"J21","Conn_01x03_Pin","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",108.200000,-93.200000,180.000000,top
"J22","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",131.010000,-88.125000,-90.000000,top
"J23","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",153.885000,-88.070000,-90.000000,top
"J24","Conn_01x03_Pin","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",131.000000,-93.350000,180.000000,top
"J25","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",81.730000,-120.350000,180.000000,top
"J26","Screw_Terminal_01x02","Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",189.005000,-110.740000,0.000000,top
"J27","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",68.977500,-71.910000,-90.000000,top
"J28","Screw_Terminal_01x02","Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",178.700000,-110.670000,0.000000,top
"J29","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",217.270000,-117.900000,0.000000,top
"J30","CR_TOUCH","PinHeader_1x05_P2.54mm_Vertical",232.990000,-140.510000,180.000000,top
"J31","EPX1","IDC-Header_2x05_P2.54mm_Vertical",225.580000,-136.060000,-90.000000,top
"J32","EPX2","IDC-Header_2x05_P2.54mm_Vertical",204.220000,-136.060000,-90.000000,top
"J33","TH_EXTRUDER2","Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical",155.640000,-138.890000,0.000000,top
"J34","Conn_01x03_Pin_Laser","Molex_KK-254_AE-6410-03A_1x03_P2.54mm_Vertical",76.600000,-72.390000,0.000000,top
